sensor,rf_rank,xgb_rank,rf_composite_score,xgb_composite_score,rf_mean_abs_shap,xgb_mean_abs_shap,rf_shap_lift,xgb_shap_lift
sensor_188,173,121,0.0584503923000394,0.08159403070911388,0.0006256310706845,0.03875376950442058,0.0001392821591593,0.01919697852409307
sensor_002,172,122,0.0585379868652257,0.08137443772898334,0.0003638206302973,0.024852264489438,-0.0001171767690859,0.02083183637886273
sensor_040,122,193,0.0911608025755889,0.017155763192842205,0.0008019694887092,0.0059151888159355666,0.0007554810675416,0.010188084978593406
sensor_050,134,124,0.0803320231598624,0.07776093272898288,0.0007228323293724,0.03439811298726839,0.0001977281093118,0.007117673049115142
sensor_562,124,142,0.0900127392898239,0.059531568105222366,0.0005910792288963,0.012174649485629747,0.0001136901990306,-0.0038763560634226526
sensor_201,126,157,0.086418499449438,0.04762461360123493,0.0005776275750597,0.006033441145684882,2.76318977402912e-05,0.0024135298701086446
sensor_043,152,127,0.0707889789011011,0.07678111807816104,0.0006562180843674,0.03273129645217923,-6.493809470141759e-05,-0.010196928550832991
sensor_204,143,128,0.077167101435267,0.07626660541890155,0.0003900591461608,0.018608267420195078,-0.0002798364990385,-0.011986778952709795
sensor_223,128,155,0.0838110612299618,0.048983119664828115,0.0006153396014067,0.012728532497010303,-0.0002362319867925,0.004228043972682054
sensor_196,163,131,0.064952380078224,0.07329906931895773,0.0002949553815375,0.01780305353342185,-0.0001403483616734,0.00962400768017043
sensor_545,131,168,0.0831325422826523,0.04239014849590422,0.0005552902360509,0.009719104181172823,0.0003981113333259,0.002340911609419907
sensor_569,132,135,0.0827759645118379,0.06886364604467711,0.0002725249548826,0.004874660935848703,7.064279977122922e-06,-0.0020701049890165177
sensor_068,133,150,0.0825447287809892,0.05518639397515042,0.0007023500411645,0.02341372168981054,-0.0003397967689607,-0.0025294003350908884
sensor_006,135,145,0.0802982853307454,0.05876115762188796,0.0005668064914428,0.01866023283848683,0.0002617261761743,0.0029816102383704783
sensor_185,136,137,0.0800233893183157,0.06722265397561494,0.000476243887428,0.01788763696913218,-0.0001143956265874,-1.080099998280494e-05
sensor_439,137,144,0.0799102832737193,0.05879084084738091,0.0006224288633529,0.01867349441266681,-7.565949460200841e-05,0.0029908989697464933
sensor_004,166,138,0.0609094137624268,0.06545620030717172,0.0004129997690726,0.021008465295767994,4.912356492808061e-05,0.006847794777258878
sensor_203,138,147,0.0793477249001608,0.05603995467151749,0.0007185560504854,0.021210446680280923,0.0001759957688771,0.009916699999321304
sensor_268,171,139,0.0588452227016379,0.06417964281519165,0.0004482518346741,0.03139644088890095,0.0007027085319506,0.012582506888186415
sensor_195,141,140,0.0782000099295259,0.06378620187943426,0.0007076283980899,0.026429140545271363,0.0001690576542608,0.0074979939097160565
sensor_073,182,141,0.0510889256350617,0.061678900891728644,0.0003151082722807,0.020233552874485625,3.3494311217342477e-06,0.003151512265516958
sensor_055,142,152,0.0775329173632748,0.053697145557737434,0.0007461542658694,0.028957213219396108,0.0004440876187652,-0.0031202859017090924
sensor_062,144,179,0.076768196267856,0.03404201593900337,0.0005912522504395,0.005297408304624905,6.056798193258371e-05,0.001634888226917372
sensor_420,145,158,0.0767605336918799,0.04754221553296972,0.0007080244383383,0.01811177725116358,0.0001166789152072,-0.005335011888629489
sensor_493,146,156,0.0759781241389549,0.04858328741385906,0.0005799529062086,0.01403730910806027,-6.749001913292972e-05,5.360510100439579e-06
sensor_067,147,173,0.0755103924436146,0.03837792729979936,0.0006959599239614,0.014041664986426278,0.0001096222597104,-0.002400530842138542
sensor_041,160,148,0.0656353766733098,0.05598361963115618,0.0004380515742691,0.013566490674914503,0.0001394687770302,0.012726317179198787
sensor_012,153,149,0.0705609560432946,0.055248936928703606,0.0004960749721623,0.01587333011824659,0.0001347846199962,0.005237227412769661
sensor_181,149,172,0.0738170074755085,0.04075137384620694,0.0007881105901929,0.020109280308097357,0.0001820908397295,0.0075104051371338845
sensor_134,150,183,0.0729133519130151,0.03255312438048468,0.000642835007862,0.010437427363636505,-0.0001818794770503,0.003337823761242886
sensor_438,151,160,0.0720908565007332,0.04590241809992397,0.0005262973945225,0.010412638606807623,-9.554216149507396e-05,-0.005852248992947587
sensor_525,167,151,0.060291000847011,0.05473880259680589,0.0005103673188695,0.021401463990015548,0.0001436332662484,-0.007381884182102477
sensor_169,188,153,0.043480301415578,0.05369090021999498,0.0004727014777286,0.026732975838674008,-8.098510207421201e-05,-0.009238046410153897
